model,stage,params_json,train_time_s,predict_time_val_s,predict_time_test_s,val_accuracy,val_balanced_accuracy,val_macro_f1,val_weighted_f1,test_accuracy,test_balanced_accuracy,test_macro_f1,test_weighted_f1,best_iteration,best_score
DecisionTree,stage1,"{""max_depth"": 5, ""min_samples_leaf"": 1, ""criterion"": ""gini""}",0.40211176899993006,0.0025434320004933397,0.001709778000076767,0.876272471301711,0.4878788536028913,0.39614828420916054,0.8451346859670332,0.8762183235867447,0.46707893823213986,0.38916014292534756,0.8458476756910049,,
DecisionTree,stage1,"{""max_depth"": 5, ""min_samples_leaf"": 1, ""criterion"": ""entropy""}",0.43605497399948945,0.002187054999922111,0.0018438859997331747,0.9801277886073207,0.9097039763251465,0.8439474219298534,0.9810790948733109,0.9784492094433614,0.918369314463213,0.8429154097670687,0.9791624663221302,,
DecisionTree,stage1,"{""max_depth"": 5, ""min_samples_leaf"": 5, ""criterion"": ""gini""}",0.3958583850007926,0.0018614259997775662,0.0015717390006102505,0.876272471301711,0.4878788536028913,0.3962837650034032,0.8451610954785814,0.8762183235867447,0.46707893823213986,0.38929473605033077,0.8458739121676099,,
DecisionTree,stage1,"{""max_depth"": 5, ""min_samples_leaf"": 5, ""criterion"": ""entropy""}",0.4704484889998639,0.002062755999759247,0.001617056000213779,0.9800736408923544,0.9096323225561583,0.8437678336180457,0.9810211354635343,0.9783409140134286,0.9182258835968907,0.8425535186172906,0.9790442931134944,,
DecisionTree,stage1,"{""max_depth"": 5, ""min_samples_leaf"": 10, ""criterion"": ""gini""}",0.4526934959994833,0.0022534110003107344,0.0017416349992345204,0.876272471301711,0.4878788536028913,0.3972196825937097,0.8453471225758308,0.8762183235867447,0.46707893823213986,0.3902494082159091,0.8460600081063192,,
DecisionTree,stage1,"{""max_depth"": 5, ""min_samples_leaf"": 10, ""criterion"": ""entropy""}",0.46369565399982093,0.0019896349995178753,0.0016566629992667004,0.9800736408923544,0.9096323225561583,0.8411072997075119,0.9810238897304212,0.9783409140134286,0.9182258835968907,0.8425535186172906,0.9790442931134944,,
DecisionTree,stage1,"{""max_depth"": 10, ""min_samples_leaf"": 1, ""criterion"": ""gini""}",0.6644889050003258,0.0021776280000267434,0.0016996220001601614,0.9949101147931557,0.9407111219199393,0.9157761719456924,0.995032719746067,0.9949101147931557,0.9495867408375317,0.9178841383050539,0.994992649333571,,
DecisionTree,stage1,"{""max_depth"": 10, ""min_samples_leaf"": 1, ""criterion"": ""entropy""}",0.5979214930002854,0.0020457059999898775,0.001697407000392559,0.9985921594108729,0.9478006885500362,0.9620557768846955,0.9985704443869263,0.99772579597141,0.9481167045278865,0.933925138417317,0.9977250164821061,,
DecisionTree,stage1,"{""max_depth"": 10, ""min_samples_leaf"": 5, ""criterion"": ""gini""}",0.6951325720001478,0.0020345019993328606,0.0016900679993341328,0.9946393762183235,0.9379637562222084,0.9062545026268506,0.9947793202324287,0.9948559670781894,0.9473969431127983,0.9060336464208479,0.9949700055538374,,
DecisionTree,stage1,"{""max_depth"": 10, ""min_samples_leaf"": 5, ""criterion"": ""entropy""}",0.5919815389997893,0.002615280999634706,0.0018504689996916568,0.9972384665367121,0.9490632192958505,0.9166965180122526,0.9973172115230867,0.9971843188217457,0.9487720093378922,0.9199272244749235,0.9972365521306232,,
DecisionTree,stage1,"{""max_depth"": 10, ""min_samples_leaf"": 10, ""criterion"": ""gini""}",0.6574517499993817,0.0031253480001396383,0.0028810829999201815,0.9948559670781894,0.9454577963569225,0.9049843775147463,0.9950325179577395,0.9948018193632229,0.9484875933924641,0.9077148927166273,0.9949058655443453,,
DecisionTree,stage1,"{""max_depth"": 10, ""min_samples_leaf"": 10, ""criterion"": ""entropy""}",0.599726880000162,0.002512836999812862,0.0020790779999515507,0.9965345462421485,0.9486070747282439,0.9014613098200193,0.9967328250571277,0.9957223305176521,0.9471313266144789,0.9066893045709454,0.9957994892129228,,
DecisionTree,stage1,"{""max_depth"": 20, ""min_samples_leaf"": 1, ""criterion"": ""gini""}",0.8334723860007216,0.002284064000377839,0.0017760600003384752,0.9987004548408057,0.9587653788180338,0.9465840667521479,0.9987222729230536,0.9979965345462422,0.9610635594888519,0.9442640137089731,0.9980095089104049,,
DecisionTree,stage1,"{""max_depth"": 20, ""min_samples_leaf"": 1, ""criterion"": ""entropy""}",0.6140005859997473,0.0022819820005679503,0.0017853480003395816,0.998862897985705,0.9536960534220696,0.9657343796713436,0.9988537756998445,0.998104829976175,0.9528485076803461,0.9386401773188976,0.9981108634438401,,
DecisionTree,stage1,"{""max_depth"": 20, ""min_samples_leaf"": 5, ""criterion"": ""gini""}",0.8041655780007204,0.002296583000315877,0.0019626729999799863,0.9979423868312757,0.957510354778612,0.9296748032432949,0.9979931957998456,0.9974009096816114,0.960436307186642,0.922713200460894,0.9974585670342891,,
DecisionTree,stage1,"{""max_depth"": 20, ""min_samples_leaf"": 5, ""criterion"": ""entropy""}",0.8372054189994742,0.003448741999818594,0.003185198000210221,0.9968594325319472,0.9485711810481637,0.9155223250456229,0.9969376728625492,0.9966969893870479,0.946005303416462,0.9144948977902723,0.9967505781657527,,
DecisionTree,stage1,"{""max_depth"": 20, ""min_samples_leaf"": 10, ""criterion"": ""gini""}",1.3168860960004167,0.0026641600006769295,0.0026541939996604924,0.99696772796188,0.9572974612709655,0.9165024435711372,0.9971280664712093,0.9964262508122157,0.9545747245969891,0.9143996726913827,0.9965319687522309,,
DecisionTree,stage1,"{""max_depth"": 20, ""min_samples_leaf"": 10, ""criterion"": ""entropy""}",0.9454350129999511,0.0027791800002887612,0.002315264000571915,0.9964803985271822,0.9486753644441595,0.9011459306381675,0.9966778030143946,0.9957223305176521,0.9472770204200079,0.9067620753855224,0.9957990653057543,,
DecisionTree,stage1,"{""max_depth"": null, ""min_samples_leaf"": 1, ""criterion"": ""gini""}",1.1162626959994668,0.002445973999783746,0.002135615999577567,0.9987546025557722,0.9591232783136503,0.9468737443030126,0.9987766968182652,0.998104829976175,0.9612006208923608,0.94335506397714,0.9981181850706952,,
DecisionTree,stage1,"{""max_depth"": null, ""min_samples_leaf"": 1, ""criterion"": ""entropy""}",0.8987677300001451,0.002843444000063755,0.003048517000024731,0.998862897985705,0.9536960534220696,0.9657343796713436,0.9988537756998445,0.998104829976175,0.9528485076803461,0.9386401773188976,0.9981108634438401,,
DecisionTree,stage1,"{""max_depth"": null, ""min_samples_leaf"": 5, ""criterion"": ""gini""}",1.0661771409995708,0.004077089000020351,0.0030687899998156354,0.9979423868312757,0.957510354778612,0.9296748032432949,0.9979931957998456,0.9974009096816114,0.960436307186642,0.922713200460894,0.9974585670342891,,
DecisionTree,stage1,"{""max_depth"": null, ""min_samples_leaf"": 5, ""criterion"": ""entropy""}",0.8177625090002039,0.0036781959997824742,0.0029182910002418794,0.9968594325319472,0.9485711810481637,0.9155223250456229,0.9969376728625492,0.9966969893870479,0.946005303416462,0.9144948977902723,0.9967505781657527,,
DecisionTree,stage1,"{""max_depth"": null, ""min_samples_leaf"": 10, ""criterion"": ""gini""}",1.0381142460000774,0.0027567739998630714,0.0028243990000191843,0.99696772796188,0.9572974612709655,0.9165024435711372,0.9971280664712093,0.9964262508122157,0.9545747245969891,0.9143996726913827,0.9965319687522309,,
DecisionTree,stage1,"{""max_depth"": null, ""min_samples_leaf"": 10, ""criterion"": ""entropy""}",0.9107444459996259,0.002684849000615941,0.002414747000329953,0.9964803985271822,0.9486753644441595,0.9011459306381675,0.9966778030143946,0.9957223305176521,0.9472770204200079,0.9067620753855224,0.9957990653057543,,
DecisionTree,stage2,"{""max_depth"": 17, ""min_samples_leaf"": 1, ""criterion"": ""entropy""}",0.7706728350003687,0.0028441290005503106,0.002684835999389179,0.998862897985705,0.9536960534220696,0.9657343796713436,0.9988537756998445,0.998104829976175,0.9528485076803461,0.9386401773188976,0.9981108634438401,,
DecisionTree,stage2,"{""max_depth"": 17, ""min_samples_leaf"": 3, ""criterion"": ""entropy""}",0.8599185469993245,0.003263921000325354,0.0037183599997661076,0.9976175005414771,0.9533871213352665,0.9515548561607864,0.9976219010862497,0.9974550573965779,0.9539889735511161,0.9309981847814686,0.997480570346032,,
DecisionTree,stage2,"{""max_depth"": 20, ""min_samples_leaf"": 1, ""criterion"": ""entropy""}",0.8015294329998142,0.0025479360001554596,0.0021098580000398215,0.998862897985705,0.9536960534220696,0.9657343796713436,0.9988537756998445,0.998104829976175,0.9528485076803461,0.9386401773188976,0.9981108634438401,,
DecisionTree,stage2,"{""max_depth"": 20, ""min_samples_leaf"": 3, ""criterion"": ""entropy""}",0.788437812999291,0.0033273700000790996,0.0025521269999444485,0.9976175005414771,0.9533871213352665,0.9515548561607864,0.9976219010862497,0.9974550573965779,0.9539889735511161,0.9309981847814686,0.997480570346032,,
DecisionTree,stage2,"{""max_depth"": 23, ""min_samples_leaf"": 1, ""criterion"": ""entropy""}",0.712858485999277,0.002123760000358743,0.0017223040003955248,0.998862897985705,0.9536960534220696,0.9657343796713436,0.9988537756998445,0.998104829976175,0.9528485076803461,0.9386401773188976,0.9981108634438401,,
DecisionTree,stage2,"{""max_depth"": 23, ""min_samples_leaf"": 3, ""criterion"": ""entropy""}",0.7755218160000368,0.003176078999786114,0.0023512870002377895,0.9976175005414771,0.9533871213352665,0.9515548561607864,0.9976219010862497,0.9974550573965779,0.9539889735511161,0.9309981847814686,0.997480570346032,,
LinearSVC,stage1,"{""C"": 0.01}",47.9552931420003,0.003202984999916225,0.0031522079998467234,0.9812648906216158,0.9289944345975031,0.8764306267290732,0.9812934383905983,0.9828351743556422,0.9420026432972265,0.9028357946076927,0.9829077625297373,,
LinearSVC,stage1,"{""C"": 0.1}",84.00310001799971,0.0035573450004449114,0.0034442630003468366,0.9876543209876543,0.9492107179417609,0.8604592128106092,0.9880924578440414,0.9876001732726879,0.9546678482901303,0.8918785592502516,0.9880103645268137,,
